3,25,36,6,44,77,c1
3,25,36,6,44,77,c2
3,25,36,6,44,77,c3
3,25,36,6,44,77,c4
4,24,36,6,46,78,c1
4,24,36,6,46,78,c2
4,24,36,6,46,78,c3
4,24,36,6,46,78,c4
3,24,35,6,45,80,c1
3,24,35,6,45,80,c2
3,24,35,6,45,80,c3
3,24,35,6,45,80,c4
0,24,35,5,41,75,c5
0,24,35,5,41,75,c2
0,24,35,5,41,75,c3
0,24,35,5,41,75,c6
0,24,35,4,40,78,c5
0,24,35,4,40,78,c2
0,24,35,4,40,78,c3
0,24,35,4,40,78,c6
10,25,36,5,38,65,c7
10,25,36,5,38,65,c8
3,25,36,5,40,67,c9
3,25,36,5,40,67,c4
4,24,36,6,42,66,c9
4,24,36,6,42,66,c4
5,24,35,6,44,67,c9
5,24,35,6,44,67,c4
17,23,34,8,48,72,c7
17,23,34,8,48,72,c8
3,26,32,6,46,68,c4
0,26,33,5,45,64,c6
0,26,33,4,43,62,c6
0,26,33,4,44,63,c6
0,26,33,5,42,61,c6
7,26,33,6,74,82,c10
7,26,33,6,74,82,c11
7,26,33,6,74,82,c4
7,26,33,6,74,82,c12
0,26,33,5,70,80,c10
0,26,33,5,70,80,c11
0,26,33,5,70,80,c12
0,26,33,5,71,78,c10
0,26,33,5,71,78,c11
0,26,33,5,71,78,c12
6,26,33,6,73,81,c10
6,26,33,6,73,81,c11
6,26,33,6,73,81,c12
6,25,32,7,75,83,c10
6,25,32,7,75,83,c11
6,25,32,7,75,83,c12
7,28,35,7,56,71,c12
7,28,35,7,56,71,c9
6,28,35,6,57,73,c12
6,28,35,6,57,73,c9
0,27,35,5,56,74,c12
0,27,35,5,56,74,c9
6,28,36,6,58,73,c12
6,28,36,6,58,73,c9
5,27,36,7,56,72,c12
5,27,36,7,56,72,c9
4,27,38,5,54,70,c13
4,27,38,5,54,70,c4
6,28,38,7,52,71,c13
6,28,38,7,52,71,c4
10,27,37,7,60,76,c7
10,27,37,7,60,76,c8
4,28,38,5,58,72,c13
4,28,38,5,58,72,c4
0,28,38,4,56,70,c13
0,28,38,4,56,70,c6
0,27,36,5,63,79,c5
0,27,36,5,63,79,c2
0,27,36,5,63,79,c3
3,26,35,7,63,82,c1
3,26,35,7,63,82,c2
3,26,35,7,63,82,c3
0,26,36,6,62,77,c5
0,26,36,6,62,77,c2
0,26,36,6,62,77,c3
0,25,35,6,56,74,c5
0,25,35,6,56,74,c2
0,25,35,6,56,74,c3
0,25,35,6,58,78,c5
0,25,35,6,58,78,c2
0,25,35,6,58,78,c3
3,28,36,6,51,76,c4
4,28,36,6,54,74,c4
4,27,36,7,52,71,c4
3,27,35,7,51,72,c4
6,26,35,6,57,78,c4
12,26,32,7,74,82,c14
12,26,32,7,74,82,c14
12,26,32,7,74,82,c8
12,26,32,7,74,82,c7
